today,s,exp,tau,type,K,bid,ask,mid 
29/11/2021,4655.27,15/12/2021,16,call,3800,860.1,863,861.55
29/11/2021,4655.27,15/12/2021,16,call,4150,513.9,516.7,515.3
29/11/2021,4655.27,15/12/2021,16,call,4325,346.1,348.2,347.15
29/11/2021,4655.27,15/12/2021,16,call,4350,323.1,323.6,323.35
29/11/2021,4655.27,15/12/2021,16,call,4375,299.8,300.3,300.05
29/11/2021,4655.27,15/12/2021,16,call,4400,276.3,276.9,276.6
29/11/2021,4655.27,15/12/2021,16,call,4410,265.7,266.5,266.1
29/11/2021,4655.27,15/12/2021,16,call,4425,253.5,254.1,253.8
29/11/2021,4655.27,15/12/2021,16,call,4440,240,240.5,240.25
29/11/2021,4655.27,15/12/2021,16,call,4460,222.3,223,222.65
29/11/2021,4655.27,15/12/2021,16,call,4485,200.5,201.1,200.8
29/11/2021,4655.27,15/12/2021,16,call,4500,187.3,188,187.65
29/11/2021,4655.27,15/12/2021,16,call,4510,178.5,179,178.75
29/11/2021,4655.27,15/12/2021,16,call,4515,174.6,175.1,174.85
29/11/2021,4655.27,15/12/2021,16,call,4520,170.4,171.1,170.75
29/11/2021,4655.27,15/12/2021,16,call,4525,165.8,166.4,166.1
29/11/2021,4655.27,15/12/2021,16,call,4530,161.6,162.2,161.9
29/11/2021,4655.27,15/12/2021,16,call,4535,157.4,158,157.7
29/11/2021,4655.27,15/12/2021,16,call,4540,153.6,154.2,153.9
29/11/2021,4655.27,15/12/2021,16,call,4545,149.5,150.1,149.8
29/11/2021,4655.27,15/12/2021,16,call,4550,145.4,146.1,145.75
29/11/2021,4655.27,15/12/2021,16,call,4555,140.6,141.6,141.1
29/11/2021,4655.27,15/12/2021,16,call,4560,137.1,137.7,137.4
29/11/2021,4655.27,15/12/2021,16,call,4570,129,129.6,129.3
29/11/2021,4655.27,15/12/2021,16,call,4575,125.1,125.8,125.45
29/11/2021,4655.27,15/12/2021,16,call,4580,121.2,121.9,121.55
29/11/2021,4655.27,15/12/2021,16,call,4585,117.5,118.1,117.8
29/11/2021,4655.27,15/12/2021,16,call,4590,113.4,114,113.7
29/11/2021,4655.27,15/12/2021,16,call,4595,109.6,110.2,109.9
29/11/2021,4655.27,15/12/2021,16,call,4600,105.9,106.4,106.15
29/11/2021,4655.27,15/12/2021,16,call,4605,102.2,102.7,102.45
29/11/2021,4655.27,15/12/2021,16,call,4610,98.4,98.9,98.65
29/11/2021,4655.27,15/12/2021,16,call,4615,94.6,95.2,94.9
29/11/2021,4655.27,15/12/2021,16,call,4620,91,91.5,91.25
29/11/2021,4655.27,15/12/2021,16,call,4625,87.1,87.7,87.4
29/11/2021,4655.27,15/12/2021,16,call,4630,82.6,83.2,82.9
29/11/2021,4655.27,15/12/2021,16,call,4635,80.1,80.7,80.4
29/11/2021,4655.27,15/12/2021,16,call,4640,76.7,77.3,77
29/11/2021,4655.27,15/12/2021,16,call,4645,73.2,73.8,73.5
29/11/2021,4655.27,15/12/2021,16,call,4650,69.8,70.3,70.05
29/11/2021,4655.27,15/12/2021,16,call,4655,66.3,66.9,66.6
29/11/2021,4655.27,15/12/2021,16,call,4660,63.2,63.7,63.45
29/11/2021,4655.27,15/12/2021,16,call,4665,60.2,60.7,60.45
29/11/2021,4655.27,15/12/2021,16,call,4670,56,56.5,56.25
