today,s,exp,tau,type,K,bid,ask,mid
29/11/2021,4655.27,15/12/2021,16,put,2000,0,0.05,0.025
29/11/2021,4655.27,15/12/2021,16,put,2200,0,0.1,0.05
29/11/2021,4655.27,15/12/2021,16,put,2300,0.05,0.15,0.1
29/11/2021,4655.27,15/12/2021,16,put,2400,0.1,0.2,0.15
29/11/2021,4655.27,15/12/2021,16,put,2500,0.1,0.25,0.175
29/11/2021,4655.27,15/12/2021,16,put,2600,0.15,0.25,0.2
29/11/2021,4655.27,15/12/2021,16,put,2700,0.2,0.35,0.275
29/11/2021,4655.27,15/12/2021,16,put,2800,0.3,0.4,0.35
29/11/2021,4655.27,15/12/2021,16,put,2900,0.4,0.5,0.45
29/11/2021,4655.27,15/12/2021,16,put,3000,0.5,0.65,0.575
29/11/2021,4655.27,15/12/2021,16,put,3100,0.65,0.8,0.725
29/11/2021,4655.27,15/12/2021,16,put,3200,0.9,1.05,0.975
29/11/2021,4655.27,15/12/2021,16,put,3300,1.1,1.25,1.175
29/11/2021,4655.27,15/12/2021,16,put,3400,1.4,1.55,1.475
29/11/2021,4655.27,15/12/2021,16,put,3500,1.8,1.95,1.875
29/11/2021,4655.27,15/12/2021,16,put,3550,2.05,2.2,2.125
29/11/2021,4655.27,15/12/2021,16,put,3600,2.3,2.45,2.375
29/11/2021,4655.27,15/12/2021,16,put,3650,2.55,2.7,2.625
29/11/2021,4655.27,15/12/2021,16,put,3675,2.65,2.8,2.725
29/11/2021,4655.27,15/12/2021,16,put,3700,2.7,2.9,2.8
29/11/2021,4655.27,15/12/2021,16,put,3725,2.95,3.1,3.025
29/11/2021,4655.27,15/12/2021,16,put,3750,3,3.2,3.1
29/11/2021,4655.27,15/12/2021,16,put,3775,3.1,3.3,3.2
29/11/2021,4655.27,15/12/2021,16,put,3800,3.4,3.6,3.5
29/11/2021,4655.27,15/12/2021,16,put,3825,3.4,3.6,3.5
29/11/2021,4655.27,15/12/2021,16,put,3850,3.6,3.8,3.7
29/11/2021,4655.27,15/12/2021,16,put,3875,3.9,4.1,4
29/11/2021,4655.27,15/12/2021,16,put,3900,4.1,4.3,4.2
29/11/2021,4655.27,15/12/2021,16,put,3925,4.3,4.6,4.45
29/11/2021,4655.27,15/12/2021,16,put,3950,4.4,4.7,4.55
29/11/2021,4655.27,15/12/2021,16,put,3975,4.6,4.9,4.75
29/11/2021,4655.27,15/12/2021,16,put,4000,4.9,5.2,5.05
29/11/2021,4655.27,15/12/2021,16,put,4025,5.2,5.5,5.35
29/11/2021,4655.27,15/12/2021,16,put,4050,5.5,5.8,5.65
29/11/2021,4655.27,15/12/2021,16,put,4075,5.9,6.1,6
29/11/2021,4655.27,15/12/2021,16,put,4100,6.3,6.6,6.45
